ts,value,residual,z
2013-11-04 18:10:00+01:00,851.0514526367188,430.58309067892134,5.01905648820926
2013-11-09 10:20:00+01:00,250.94143676757812,-382.85240429289735,-4.242406889267184
2013-11-09 12:20:00+01:00,284.8160400390625,-381.9144763520049,-4.231728002829375
2013-11-09 14:20:00+01:00,263.2588806152344,-395.12872291569437,-4.382180326789979
2013-11-10 10:20:00+01:00,216.97804260253906,-438.12342996021334,-4.871701508468848
2013-11-10 12:00:00+01:00,198.1634521484375,-424.10866859213115,-4.712134831139306
2013-11-10 12:10:00+01:00,204.4270477294922,-425.7238888644433,-4.73052510730877
2013-11-10 12:20:00+01:00,199.12742614746094,-457.9487367079669,-5.097424818462737
2013-11-10 12:30:00+01:00,204.23745727539062,-381.29890975061767,-4.224719398495798
2013-11-10 12:50:00+01:00,201.1215057373047,-400.5839976817043,-4.444291985024444
2013-11-10 13:10:00+01:00,240.7345428466797,-407.2642360816948,-4.520350607591027
2013-11-10 13:40:00+01:00,245.77818298339844,-368.68804591269185,-4.081136957951648
2013-11-10 14:10:00+01:00,221.09225463867188,-399.67107795780737,-4.433897832517316
2013-11-10 14:20:00+01:00,218.8024139404297,-425.2391112488582,-4.725005616014482
2013-11-10 14:30:00+01:00,223.42201232910156,-376.4944224975302,-4.17001735633379
2013-11-10 15:10:00+01:00,194.935302734375,-368.9551602354413,-4.084178218792902
2013-11-10 16:40:00+01:00,255.8038330078125,-373.3941426103504,-4.134718763129374
2013-11-16 12:30:00+01:00,216.19366455078125,-400.0206138873298,-4.437877514041413
2013-11-16 13:10:00+01:00,252.15609741210938,-412.0433082140663,-4.574763282973247
2013-11-17 10:10:00+01:00,164.98936462402344,-412.4481600119082,-4.579372769677719
2013-11-17 10:20:00+01:00,181.45103454589844,-404.4556653006591,-4.4883733019627385
2013-11-17 10:30:00+01:00,184.51138305664062,-396.89594959796995,-4.402301289421639
2013-11-17 10:40:00+01:00,157.81809997558594,-397.5754579527172,-4.410037909941745
2013-11-17 11:00:00+01:00,167.2268524169922,-380.8977025608174,-4.220151407895333
2013-11-17 11:10:00+01:00,177.6151885986328,-428.45894738701696,-4.761665430664033
2013-11-17 11:40:00+01:00,196.49693298339844,-404.4074981406191,-4.48782488922262
2013-11-17 12:00:00+01:00,208.77288818359375,-419.8637806253811,-4.663804171008833
2013-11-17 12:10:00+01:00,239.23570251464844,-390.96034952510036,-4.33472083216592
2013-11-17 12:20:00+01:00,188.37692260742188,-400.08138510397805,-4.438569431717581
2013-11-17 12:30:00+01:00,171.71200561523438,-432.1231622499481,-4.8033847703904335
2013-11-17 12:40:00+01:00,172.2512969970703,-404.61370902545895,-4.490172726967328
2013-11-17 13:00:00+01:00,192.40695190429688,-493.9000318692041,-5.506752424114098
2013-11-17 13:10:00+01:00,188.04052734375,-485.50897218234525,-5.4112150490321875
2013-11-17 13:30:00+01:00,234.05494689941406,-372.0348137422105,-4.119241967971006
2013-11-17 14:00:00+01:00,190.87152099609375,-427.83252127281264,-4.754533184098373
2013-11-17 14:30:00+01:00,205.51657104492188,-397.51821944857824,-4.409386214370134
2013-11-17 17:00:00+01:00,205.65789794921875,-371.8530830777043,-4.117172852590263
2013-11-17 17:50:00+01:00,200.6561279296875,-403.57103924927384,-4.478301290317918
